"","do.call.rbind..nnpark..1...","do.call.rbind..nnpark..2..."
"1",45,4199248.67878255
"2",45,4199248.68037468
"3",45,4199248.68033597
"4",45,4199248.68043675
"5",45,4199248.68038783
"6",45,4199248.68050286
"7",45,4199248.68044558
"8",45,4199248.68055471
"9",45,4199248.68049046
"10",45,4199248.68062267
"11",45,4199248.68055805
"12",45,4199248.68102892
"13",45,4199248.68111198
"14",45,4199248.68098269
"15",45,4199248.68103316
"16",45,4199248.67877434
"17",45,4199248.67881602
"18",45,4199248.67885396
"19",45,4199248.67880143
"20",45,4199248.67889288
"21",45,4199248.67887041
"22",45,4199248.67892413
"23",45,4199248.67895716
"24",45,4199248.67927955
"25",45,4199248.67934182
"26",45,4199248.67922139
"27",45,4199248.67925783
"28",45,4199248.67929349
"29",45,4199248.67932649
"30",45,4199248.6793644
"31",45,4199248.67940006
"32",45,4199248.67943944
"33",45,4199248.69851223
"34",45,4199248.69853022
"35",45,4199248.69855478
"36",45,4199248.69857522
"37",45,4199248.69859644
"38",45,4199248.69862227
"39",45,4199248.69864644
"40",45,4199248.6986658
"41",45,4199248.6986941
"42",45,4199248.69871571
"43",45,4199248.67885725
"44",45,4199248.67889607
"45",45,4199248.67893467
"46",45,4199248.67896974
"47",45,4199248.67892178
"48",45,4199248.67900679
"49",45,4199248.67897316
"50",45,4199248.67904089
"51",45,4199248.67901717
"52",45,4199248.67907684
"53",45,4199248.67907927
"54",45,4199248.67911319
"55",45,4199248.67913468
"56",45,4199248.67914798
"57",45,4199248.67915002
"58",45,4199248.67940483
"59",45,4199248.67948326
"60",45,4199248.67951882
"61",45,4199248.67955261
"62",45,4199248.67958894
"63",45,4199248.6796249
"64",45,4199248.67966006
"65",45,4199248.67969345
"66",45,4199248.68088631
"67",45,4199248.68079775
"68",45,4199248.68094838
"69",45,4199248.68086002
"70",45,4199248.6810024
"71",45,4199248.68093036
"72",45,4199248.68140494
"73",45,4199248.68135736
"74",45,4199248.68142493
"75",45,4199248.68154303
"76",45,4199248.68160392
"77",45,4199248.68162825
"78",45,4199248.68176579
"79",45,4199248.68175122
"80",45,4199248.6791488
"81",45,4199248.67918997
"82",45,4199248.6792212
"83",45,4199248.67917821
"84",45,4199248.67926098
"85",45,4199248.6792342
"86",45,4199248.67929351
"87",45,4199248.67929501
"88",45,4199248.67935934
"89",45,4199248.67968212
"90",45,4199248.67956897
"91",45,4199248.67961848
"92",45,4199248.67968154
"93",45,4199248.67973721
"94",45,4199248.68104048
"95",45,4199248.68109932
"96",45,4199248.68115608
"97",45,4199248.68153974
"98",45,4199248.68160417
"99",45,4199248.68165996
"100",45,4199248.68171791
"101",45,4199248.68177246
"102",45,4199248.6791526
"103",45,4199248.67921313
"104",45,4199248.67927434
"105",45,4199248.67934027
"106",45,4199248.67983192
"107",45,4199248.67975541
"108",45,4199248.67989212
"109",45,4199248.67979812
"110",45,4199248.67994781
"111",45,4199248.67985549
"112",45,4199248.6799212
"113",45,4199248.68000508
"114",45,4199248.68010007
"115",45,4199248.68015624
"116",45,4199248.68021625
"117",45,4199248.68033041
"118",45,4199248.68038652
"119",45,4199248.67944652
"120",45,4199248.67950703
"121",45,4199248.67956508
"122",45,4199248.67951068
"123",45,4199248.67956559
"124",45,4199248.67962459
"125",45,4199248.67961892
"126",45,4199248.67968048
"127",45,4199248.67973273
"128",45,4199248.67999754
"129",45,4199248.68004301
"130",45,4199248.67994597
"131",45,4199248.68010538
"132",45,4199248.67999871
"133",45,4199248.68015802
"134",45,4199248.68005705
"135",45,4199248.68021381
"136",45,4199248.68011471
"137",45,4199248.68017148
"138",45,4199248.6802308
"139",45,4199248.68028531
"140",45,4199248.6803469
"141",45,4199248.68040307
"142",45,4199248.68045974
"143",45,4199248.68051533
"144",45,4199248.68057064
"145",45,4199248.68071718
"146",45,4199248.68086009
"147",45,4199248.68091331
"148",45,4199248.68196872
"149",45,4199248.68202274
"150",45,4199248.68193215
"151",45,4199248.68207223
"152",45,4199248.68199482
"153",45,4199248.68213185
"154",45,4199248.68218774
"155",45,4199248.6821116
"156",45,4199248.69809137
"157",45,4199248.69807266
"158",45,4199248.69816309
"159",45,4199248.69887288
"160",45,4199248.69838619
"161",45,4199248.69853359
"162",45,4199248.69885132
"163",45,4199248.69845516
"164",45,4199248.69882964
"165",45,4199248.67957008
"166",45,4199248.67963215
"167",45,4199248.67969658
"168",45,4199248.67967854
"169",45,4199248.67976189
"170",45,4199248.67974277
"171",45,4199248.6798269
"172",45,4199248.67981496
"173",45,4199248.67988378
"174",45,4199248.67987497
"175",45,4199248.67990779
"176",45,4199248.67993379
"177",45,4199248.68015949
"178",45,4199248.68012815
"179",45,4199248.68037748
"180",45,4199248.68019485
"181",45,4199248.6801754
"182",45,4199248.6803764
"183",45,4199248.68036964
"184",45,4199248.6802302
"185",45,4199248.68023089
"186",45,4199248.68036507
"187",45,4199248.68035588
"188",45,4199248.68027007
"189",45,4199248.68034628
"190",45,4199248.68030406
"191",45,4199248.68034433
"192",45,4199248.68029296
"193",45,4199248.68026271
"194",45,4199248.68034364
"195",45,4199248.68035425
"196",45,4199248.68025877
"197",45,4199248.68024947
"198",45,4199248.68037959
"199",45,4199248.68041721
"200",45,4199248.68024036
"201",45,4199248.68049852
"202",45,4199248.6805027
"203",45,4199248.68058398
"204",45,4199248.68054303
"205",45,4199248.68061964
"206",45,4199248.68055109
"207",45,4199248.68055855
"208",45,4199248.68065803
"209",45,4199248.68069496
"210",45,4199248.68145124
"211",45,4199248.68151538
"212",45,4199248.68157352
"213",45,4199248.6816351
"214",45,4199248.68169305
"215",45,4199248.68174884
"216",45,4199248.68214486
"217",45,4199248.68220821
"218",45,4199248.68211586
"219",45,4199248.68217979
"220",45,4199248.68228001
"221",45,4199248.68223843
"222",45,4199248.68233285
"223",45,4199248.69827338
"224",45,4199248.69822141
"225",45,4199248.69832132
"226",45,4199248.69834874
"227",45,4199248.69898389
"228",45,4199248.69862649
"229",45,4199248.69868898
"230",45,4199248.69899863
"231",45,4199248.69858504
"232",45,4199248.69874606
"233",45,4199248.69860361
"234",45,4199248.6987942
"235",45,4199248.69866403
